대분류,소분류,시설명,시설주소,자치구,lat,lon,dong,area
문화시설,공연장,우란2경,서울특별시 성동구 연무장7길 11 2층,성동구,37.54378977,127.0544169,성수2가3동,성수
문화시설,미술관/갤러리,리움미술관,서울특별시 용산구 이태원로55길 60-16,용산구,37.53846127,126.9992941,한남동,이태원한남
문화시설,공연장,포스트극장,서울특별시 마포구 와우산로 148,마포구,37.5541249,126.9296484,서강동,홍대
문화시설,문화예술회관,성수아트홀,서울특별시 성동구 뚝섬로1길 43,성동구,37.54542883,127.0469481,성수1가1동,성수
문화시설,도서관,연세대학교 김대중도서관,서울특별시 마포구 신촌로4길 5-26,마포구,37.55698238,126.92959,서교동,홍대
문화시설,공연장,홍대 롤링홀,"서울특별시 마포구 어울마당로 35 지하 1층, 2층",마포구,37.54849752,126.920121,서교동,홍대
문화시설,미술관/갤러리,스튜디오 콘크리트,서울특별시 용산구 한남대로 162,용산구,37.54245141,127.0025167,한남동,이태원한남
문화시설,문화예술회관,용산아트홀,서울특별시 용산구 녹사평대로 150,용산구,37.53245229,126.9904788,이태원1동,이태원한남
문화시설,미술관/갤러리,디뮤지엄,서울특별시 성동구 왕십리로 83-21,성동구,37.54415475,127.0433578,성수1가1동,성수
문화시설,미술관/갤러리,필 갤러리,서울 용산구 유엔빌리지길 24 필 갤러리,용산구,37.5335833,127.0097801,한남동,이태원한남
문화시설,공연장,일신홀,서울특별시 용산구 한남대로 98 일신빌딩 1층,용산구,37.53716704,127.0055166,한남동,이태원한남
문화시설,공연장,더줌아트센터,서울특별시 용산구 독서당로 111,용산구,37.53612286,127.0073076,한남동,이태원한남
문화시설,공연장,폼텍웍스홀,서울특별시 마포구 잔다리로3길 34,마포구,37.5506957,126.9179163,서교동,홍대
문화시설,미술관/갤러리,갤러리 비선재,서울특별시 용산구 유엔빌리지3길 54-14,용산구,37.53576326,127.0142785,한남동,이태원한남
문화시설,기타,현대카드 아트 라이브러리,서울특별시 용산구 이태원로 248,용산구,37.53681055,127.0008661,한남동,이태원한남
문화시설,미술관/갤러리,BHAK,서울특별시 용산구 한남대로40길 19,용산구,37.54288685,127.0032009,한남동,이태원한남
문화시설,박물관/기념관,한국천주교순교자박물관,서울특별시 마포구 토정로 6,마포구,37.54413544,126.9117936,합정동,홍대
문화시설,미술관/갤러리,갤러리비케이 이태원,서울특별시 용산구 이태원로42길 56,용산구,37.53695713,127.0012964,한남동,이태원한남
문화시설,기타,언더스탠드에비뉴,서울특별시 성동구 왕십리로 63,성동구,37.5436228,127.0435859,성수1가1동,성수
문화시설,문화원,주한이탈리아문화원,서울특별시 용산구 한남대로 98,용산구,37.53716704,127.0055166,한남동,이태원한남
문화시설,박물관/기념관,이한열기념관,서울특별시 마포구 신촌로12나길 26,마포구,37.55504357,126.9338654,서교동,홍대
문화시설,공연장,서울숲 스튜디오301,"서울특별시 성동구 서울숲길 36, 3F Studio301",성동구,37.54786264,127.0413188,성수1가2동,성수
문화시설,기타,드플로허,서울특별시 용산구 대사관로5길 34,용산구,37.53577818,127.0002756,한남동,이태원한남
문화시설,박물관/기념관,한익환서울아트박물관,서울특별시 용산구 한남대로 108,용산구,37.53802824,127.0049915,한남동,이태원한남
문화시설,공연장,블루스퀘어,서울특별시 용산구 이태원로 294,용산구,37.54086944,127.0024853,한남동,이태원한남
문화시설,기타,서울생활문화센터 서교,"서울 마포구 양화로 72 효성해링턴타워 지하1층, 지하2층",마포구,37.55081382,126.916494,서교동,홍대
문화시설,도서관,서울특별시교육청 마포평생학습관,서울 마포구 홍익로2길 16 마포평생학습관,마포구,37.55432192,126.9242041,서교동,홍대
문화시설,미술관/갤러리,미디어 아트 갤러리 언더독뮤지엄,서울 마포구 양화로12길 8-7 B1,마포구,37.55166421,126.9179592,서교동,홍대
문화시설,박물관/기념관,최규하 가옥,서울특별시 마포구 동교로15길 10,마포구,37.55534066,126.9149234,서교동,홍대
문화시설,박물관/기념관,수도박물관,서울 성동구 성수동1가 642-1,성동구,37.53982701,127.042263,성수1가1동,성수
문화시설,박물관/기념관,광흥당,서울특별시 마포구 독막로21길 15,마포구,37.54865222,126.9287066,서강동,홍대
문화시설,미술관/갤러리,알부스갤러리,서울특별시 용산구 한남대로28길 26,용산구,37.53819992,127.0059048,한남동,이태원한남
문화시설,미술관/갤러리,프로타주 갤러리,서울특별시 마포구 독막로15길 12,마포구,37.54836626,126.9223037,서강동,홍대
문화시설,공연장,베짱이홀,서울특별시 마포구 독막로15길 3-12 NJ빌딩 지하 1층,마포구,37.54846765,126.921536,서강동,홍대
문화시설,박물관/기념관,홍익대학교 박물관,서울특별시 마포구 와우산로 94,마포구,37.55251925,126.9249906,서강동,홍대
문화시설,공연장,스파찌오 루체,서울특별시 용산구 이태원로 213,용산구,37.53501717,126.9975911,한남동,이태원한남
문화시설,미술관/갤러리,갤러리자유(Gallery Jayu),서울특별시 용산구 녹사평대로32길 8,용산구,37.53350204,126.9893119,이태원1동,이태원한남
문화시설,기타,복합문화공간 홍대스페이스M ,서울특별시 마포구 양화로15길 17 4층,마포구,37.55454463,126.9190228,서교동,홍대
문화시설,미술관/갤러리,알비,서울 성동구 서울숲6길 8-1 3층,성동구,37.54767653,127.0424904,성수1가2동,성수
문화시설,미술관/갤러리,갤러리 조은,서울특별시 용산구 이태원로55가길 3,용산구,37.5380323,127.0007426,한남동,이태원한남
문화시설,기타,LDK,서울 용산구 대사관로20길 8 ldk,용산구,37.53312802,127.0035086,한남동,이태원한남
문화시설,기타,우무지,서울 마포구 독막로8길 7 지하1층,마포구,37.54754816,126.9184515,합정동,홍대
문화시설,미술관/갤러리,갤러리99,서울특별시 마포구 홍익로 5-1,마포구,37.55311347,126.9236057,서교동,홍대
문화시설,공연장,신한카드 SOL페이 스퀘어,서울특별시 마포구 양화로 45 메세나폴리스 2층 신한카드 SOL페이 스퀘어,마포구,37.5515008,126.9139502,서교동,홍대
